First	Last	P1	L1	B1	P2	L2	B2	L3	B3	E1	P3	L4	B4	L5	L6	P4	B5	B6	E2	L7	B7	P5	L8	L9	P6	E3	B8	L10	B9	B10	E4
Dimple	Whitson	100	90	100	100	100	98.5	100	100	100	85	100	100	100	100	100	100	98.3	100	70	100	100	100	100	92	100	100	10	100	100	100
Major	Witherite	93	92	99.4	100	95	100	93	100	100	85	98	100	100	72	25	100	100	70	na	100	100	90	100	91	95	100	100	100	100	96
Louanne	Fisch	97	80	98.3	94	41	97.4	100	100	50	25	70	100	85	50	100	100	100	38	100	100	95	100	95	58	82	100	100	100	100	51
Lan	Mazon	97	100	100	100	95	100	79	100	91	65	100	100	100	86	100	100	100	100	100	100	97	100	100	49	94	100	80	100	100	83
Elias	Kasel	100	0	98.3	100	90	100	77	100	84	7	na	100	100	86	0	97.6	100	39	na	100	94	100	95	28	50	100	100	100	98	61
Kaley	Pawlak	90	95	100	94	100	100	97	100	100	96	100	100	90	86	95	100	100	99	100	100	60	100	90	100	99	100	100	100	100	96
Amalia	Neiss	97	100	100	94	95	97.4	86	98.1	95	85	72	99.3	60	93	100	95.2	93.2	76	100	100	40	100	100	69	36	100	100	100	92	62
Shanda	Nicley	100	52	98.6	97	72	100	100	100	79	100	100	100	100	86	95	100	100	95	100	100	100	100	100	73	94	100	95	100	100	67
Harry	Sessions	100	100	100	100	95	100	97	100	92	85	100	100	100	79	100	100	100	74	100	100	96	100	100	100	94	100	100	100	54	100
Jeannine	Kleinman	100	na	100	96	100	99.5	100	100	89	10	17	100	100	100	100	95.2	100	64	100	100	79	100	100	46	99	100	70	100	0	92
Stacee	Andres	80	100	100	93	95	98.5	17	100	70	22	77	91.5	90	93	na	93.9	78	76	100	100	35	100	95	0	32	100	100	100	0	83
Sherell	Calabrese	100	100	100	100	100	100	86	100	95	65	86	100	70	86	100	100	100	82	100	100	100	100	100	96	100	100	100	100	100	100
Karan	Bengtson	96	76	95.6	100	75	97.9	100	100	102	25	100	100	70	93	100	100	100	76	100	100	100	100	100	59	58	100	100	100	100	67
Merlin	Shuford	100	100	100	100	100	100	58	100	100	100	100	100	100	100	96	100	100	100	100	100	100	100	100	100	100	100	100	100	100	96
Bill	Fleckenstein	96	96	100	96	100	100	76	94.4	99	100	100	100	100	86	na	100	100	82	70	100	76	100	100	92	80	100	100	100	100	93
Jonathan	Kisling	97	56	100	100	100	100	100	100	100	10	100	100	100	65	100	98.2	100	64	100	100	100	100	100	61	94	100	100	100	84	83
Valarie	Tewksbury	100	100	100	100	90	100	86	100	100	96	40	99.3	80	100	85	100	100	64	100	100	90	100	100	78	79	100	50	100	100	88
